Experiment Name:,Exp_20210210_1

Tube Name:,Sample ID:,All Events ,Picochlorum Events,P2 Events,All Events  % Total,Picochlorum % Total,P2 % Total,All Events  % Parent,Picochlorum % Parent,P2 % Parent,All Events  Events/μL(V),Picochlorum Events/μL(V),P2 Events/μL(V),All Events  Mean FSC-A,Picochlorum Mean FSC-A,P2 Mean FSC-A,All Events  GeoMean FSC-A,Picochlorum GeoMean FSC-A,P2 GeoMean FSC-A,All Events  Median FSC-A,Picochlorum Median FSC-A,P2 Median FSC-A,All Events  rCV FSC-A,Picochlorum rCV FSC-A,P2 rCV FSC-A,All Events  rSD FSC-A,Picochlorum rSD FSC-A,P2 rSD FSC-A,All Events  CV FSC-A,Picochlorum CV FSC-A,P2 CV FSC-A,All Events  SD FSC-A,Picochlorum SD FSC-A,P2 SD FSC-A,All Events  Mean SSC-A,Picochlorum Mean SSC-A,P2 Mean SSC-A,All Events  GeoMean SSC-A,Picochlorum GeoMean SSC-A,P2 GeoMean SSC-A,All Events  Median SSC-A,Picochlorum Median SSC-A,P2 Median SSC-A,All Events  rCV SSC-A,Picochlorum rCV SSC-A,P2 rCV SSC-A,All Events  rSD SSC-A,Picochlorum rSD SSC-A,P2 rSD SSC-A,All Events  CV SSC-A,Picochlorum CV SSC-A,P2 CV SSC-A,All Events  SD SSC-A,Picochlorum SD SSC-A,P2 SD SSC-A,All Events  Mean PC5.5-A,Picochlorum Mean PC5.5-A,P2 Mean PC5.5-A,All Events  GeoMean PC5.5-A,Picochlorum GeoMean PC5.5-A,P2 GeoMean PC5.5-A,All Events  Median PC5.5-A,Picochlorum Median PC5.5-A,P2 Median PC5.5-A,All Events  rCV PC5.5-A,Picochlorum rCV PC5.5-A,P2 rCV PC5.5-A,All Events  rSD PC5.5-A,Picochlorum rSD PC5.5-A,P2 rSD PC5.5-A,All Events  CV PC5.5-A,Picochlorum CV PC5.5-A,P2 CV PC5.5-A,All Events  SD PC5.5-A,Picochlorum SD PC5.5-A,P2 SD PC5.5-A,All Events  Mean PE-A,Picochlorum Mean PE-A,P2 Mean PE-A,All Events  GeoMean PE-A,Picochlorum GeoMean PE-A,P2 GeoMean PE-A,All Events  Median PE-A,Picochlorum Median PE-A,P2 Median PE-A,All Events  rCV PE-A,Picochlorum rCV PE-A,P2 rCV PE-A,All Events  rSD PE-A,Picochlorum rSD PE-A,P2 rSD PE-A,All Events  CV PE-A,Picochlorum CV PE-A,P2 CV PE-A,All Events  SD PE-A,Picochlorum SD PE-A,P2 SD PE-A,All Events  Mean PC5.5-Width,Picochlorum Mean PC5.5-Width,P2 Mean PC5.5-Width,All Events  GeoMean PC5.5-Width,Picochlorum GeoMean PC5.5-Width,P2 GeoMean PC5.5-Width,All Events  Median PC5.5-Width,Picochlorum Median PC5.5-Width,P2 Median PC5.5-Width,All Events  rCV PC5.5-Width,Picochlorum rCV PC5.5-Width,P2 rCV PC5.5-Width,All Events  rSD PC5.5-Width,Picochlorum rSD PC5.5-Width,P2 rSD PC5.5-Width,All Events  CV PC5.5-Width,Picochlorum CV PC5.5-Width,P2 CV PC5.5-Width,All Events  SD PC5.5-Width,Picochlorum SD PC5.5-Width,P2 SD PC5.5-Width
A100M1,,4020136,16742,1275,100.00 %,0.42 %,0.03 %,100.00 %,0.42 %,0.03 %,44668.11,186.02,14.17,3.8,834.7,1438.8,-0.1,750.2,642.3,-0.7,757.7,572.7,17579.40 %,38.92 %,104.07 %,123.1,294.9,596.0,10767.35 %,50.18 %,152.68 %,414.2,418.9,2196.7,44.0,2677.6,56052.6,-0.9,2322.7,28917.1,-4.2,2428.5,22794.9,6558.74 %,48.31 %,80.21 %,275.5,1173.2,18283.4,17442.02 %,56.10 %,153.43 %,7680.9,1502.2,86004.1,75.0,12267.5,3491.7,18.2,11458.1,364.3,22.5,10940.7,113.8,1141.27 %,32.72 %,319.45 %,256.8,3579.8,363.5,1319.07 %,44.30 %,257.32 %,989.7,5434.3,8984.9,2.7,125.9,77.7,1.6,92.7,39.5,2.5,129.2,48.1,8344.07 %,205.18 %,474.06 %,208.6,265.1,228.0,8095.74 %,219.44 %,531.82 %,218.7,276.2,413.0,18.9,1074.8,247.3,11.8,1072.4,109.7,16.0,1074.3,78.9,1165.98 %,5.85 %,335.02 %,186.6,62.8,264.3,1087.29 %,6.89 %,200.61 %,205.5,74.0,496.0
A100M2,,4063387,17114,1354,100.00 %,0.42 %,0.03 %,100.00 %,0.42 %,0.03 %,45148.45,190.15,15.04,3.6,848.4,1252.1,-0.2,759.4,590.7,-0.8,766.5,531.2,15381.97 %,39.42 %,97.06 %,123.1,302.2,515.6,9303.55 %,51.73 %,152.86 %,334.4,438.9,1914.0,41.9,2693.4,48787.3,-1.1,2334.3,26506.2,-4.4,2412.9,20783.1,6176.38 %,48.16 %,77.88 %,271.8,1162.1,16185.3,13440.93 %,57.87 %,154.06 %,5634.7,1558.8,75159.9,76.0,12305.7,2544.8,18.2,11445.5,276.7,22.4,10879.8,116.1,1133.79 %,32.86 %,289.88 %,254.0,3574.8,336.6,1413.10 %,46.58 %,273.53 %,1074.2,5731.8,6960.8,2.8,126.2,119.6,1.6,92.2,37.2,2.2,128.4,40.3,9387.55 %,204.41 %,564.71 %,206.5,262.6,227.6,8202.79 %,216.46 %,2021.60 %,225.6,273.1,2417.2,18.9,1066.1,222.6,11.8,1063.7,102.5,15.9,1066.1,83.9,1161.39 %,5.81 %,286.54 %,184.5,61.9,240.3,1076.68 %,6.91 %,202.56 %,203.3,73.7,450.9
A100M3,,4047923,17385,1345,100.00 %,0.43 %,0.03 %,100.00 %,0.43 %,0.03 %,44976.86,193.17,14.94,3.6,850.7,1447.2,-0.2,760.4,660.6,-1.1,771.3,566.8,11146.46 %,39.96 %,102.62 %,122.6,308.2,581.6,7936.74 %,52.05 %,148.16 %,284.0,442.8,2144.0,51.7,2695.3,56125.4,-1.2,2339.0,28921.4,-4.6,2412.3,22101.5,5862.72 %,48.49 %,79.72 %,269.7,1169.8,17618.5,16423.13 %,56.93 %,153.66 %,8498.3,1534.4,86244.6,77.1,12235.1,3454.0,18.0,11408.8,374.2,22.0,10857.3,108.7,1149.69 %,32.70 %,331.57 %,252.9,3549.9,360.4,1505.69 %,45.77 %,256.49 %,1160.9,5599.7,8859.2,2.6,127.7,143.8,1.6,91.2,38.4,2.2,126.6,46.3,9340.38 %,203.54 %,486.09 %,205.5,257.7,225.1,8487.07 %,209.51 %,2026.29 %,221.1,267.5,2913.9,18.6,1066.5,248.6,11.6,1064.2,115.6,15.5,1066.6,78.7,1184.01 %,5.86 %,329.71 %,183.8,62.5,259.5,1088.32 %,6.63 %,197.03 %,202.7,70.7,489.9
A101M1,,4005044,17279,1332,100.00 %,0.43 %,0.03 %,100.00 %,0.43 %,0.03 %,44500.35,191.99,14.80,3.5,879.3,1665.4,-0.2,787.5,769.5,-1.0,794.8,707.2,12261.10 %,40.07 %,107.83 %,122.6,318.5,762.5,7220.25 %,51.26 %,138.51 %,252.7,450.7,2306.8,46.6,2718.9,63241.0,-1.2,2401.5,32052.3,-4.7,2462.9,24013.9,5725.36 %,44.58 %,84.31 %,269.1,1098.0,20247.2,13716.13 %,53.96 %,146.27 %,6390.4,1467.1,92504.3,76.7,12248.9,3492.0,17.9,11432.3,413.6,22.0,10895.8,135.0,1147.67 %,32.61 %,278.01 %,252.5,3553.1,375.3,1428.03 %,44.83 %,222.35 %,1095.7,5491.1,7764.7,2.5,143.2,66.6,1.6,104.5,39.6,2.3,140.6,50.3,8908.49 %,183.90 %,448.17 %,204.9,258.6,225.4,8290.47 %,185.92 %,444.01 %,210.4,266.2,295.7,18.6,1065.1,276.0,11.6,1062.8,124.8,15.6,1065.2,95.6,1179.81 %,5.82 %,281.28 %,183.5,62.0,268.9,1086.78 %,6.80 %,180.19 %,202.3,72.4,497.3
A101M2,,4034120,17879,1462,100.00 %,0.44 %,0.04 %,100.00 %,0.44 %,0.04 %,44823.40,198.65,16.24,3.7,878.4,1557.4,-0.2,788.4,776.1,-1.1,794.6,716.9,11119.50 %,39.69 %,101.34 %,122.3,315.3,726.5,6872.26 %,51.17 %,134.28 %,251.5,449.5,2091.3,51.6,2700.5,58603.0,-1.5,2376.7,31331.8,-5.2,2437.0,24855.6,5163.44 %,44.85 %,83.06 %,268.5,1093.0,20644.9,12369.02 %,55.01 %,142.82 %,6376.7,1485.4,83698.4,78.1,12223.8,3172.6,17.9,11403.6,387.5,21.7,10885.7,123.1,1162.17 %,32.46 %,294.65 %,252.2,3533.0,362.7,1312.06 %,45.25 %,230.95 %,1024.6,5531.3,7327.0,2.7,146.9,61.4,1.7,107.8,38.0,2.3,146.4,41.5,8895.60 %,175.50 %,564.07 %,204.6,256.9,233.8,7759.53 %,181.65 %,436.46 %,208.9,266.8,267.8,18.6,1064.3,258.5,11.6,1062.1,120.8,15.3,1064.4,91.0,1195.78 %,5.76 %,289.46 %,183.2,61.3,263.5,1087.23 %,6.68 %,188.03 %,202.4,71.1,486.1
A101M3,,4006746,17633,1835,100.00 %,0.44 %,0.05 %,100.00 %,0.44 %,0.05 %,44519.43,195.92,20.39,3.7,877.4,1328.6,-0.1,782.9,627.0,-1.0,789.7,564.6,12231.45 %,40.20 %,96.42 %,122.3,317.4,544.4,7132.38 %,52.70 %,151.18 %,266.4,462.4,2008.6,55.2,2710.0,51156.1,-2.1,2381.8,26676.9,-6.5,2432.7,20313.2,4142.16 %,44.75 %,73.66 %,269.2,1088.7,14962.8,14971.97 %,56.34 %,158.23 %,8266.3,1526.7,80943.3,78.0,12283.9,2606.7,17.8,11425.7,268.9,21.8,10860.5,103.4,1156.84 %,32.63 %,334.52 %,252.2,3543.9,345.9,1443.46 %,47.36 %,264.23 %,1126.1,5817.3,6887.7,2.5,150.1,53.7,1.6,109.8,33.2,2.3,147.4,37.9,8902.05 %,172.20 %,603.99 %,204.7,253.8,228.9,8358.30 %,177.08 %,554.50 %,211.6,265.9,297.7,18.5,1064.9,208.9,11.5,1062.6,89.4,15.4,1064.7,69.3,1189.41 %,5.85 %,366.81 %,183.3,62.3,254.1,1092.26 %,6.82 %,220.27 %,202.2,72.7,460.1
B100M1,,4147105,17968,894,100.00 %,0.43 %,0.02 %,100.00 %,0.43 %,0.02 %,46078.81,199.64,9.93,3.8,989.8,1574.5,-0.2,908.7,740.2,-1.1,919.1,640.8,11132.98 %,36.93 %,103.57 %,122.5,339.4,663.8,8383.32 %,43.22 %,141.57 %,319.2,427.8,2228.9,39.6,3176.5,61569.3,-2.0,2824.0,31598.2,-5.6,2928.1,24723.8,4786.68 %,45.21 %,82.46 %,268.1,1323.9,20388.4,21514.82 %,49.86 %,147.93 %,8515.5,1583.8,91078.1,100.6,17375.4,3764.2,19.9,16521.0,294.5,24.4,15669.9,84.7,1028.71 %,29.59 %,377.74 %,251.0,4636.0,319.9,1763.98 %,35.96 %,262.97 %,1774.6,6248.0,9898.6,2.7,150.7,53.5,1.7,111.1,30.1,2.4,152.6,37.3,8518.77 %,171.08 %,577.56 %,204.5,261.2,215.7,7885.12 %,179.45 %,570.87 %,211.0,270.5,305.3,20.4,1079.9,204.6,12.9,1078.5,87.3,17.3,1078.3,58.4,1051.99 %,4.14 %,403.44 %,182.3,44.6,235.5,983.78 %,5.34 %,227.57 %,200.8,57.7,465.5
B100M2,,4068967,17453,1103,100.00 %,0.43 %,0.03 %,100.00 %,0.43 %,0.03 %,45210.47,193.92,12.26,3.7,989.0,1517.6,-0.2,906.6,702.5,-1.0,918.4,605.2,12246.28 %,37.81 %,102.62 %,122.5,347.2,621.1,7478.13 %,43.47 %,142.94 %,278.9,429.9,2169.2,47.6,3191.1,59891.7,-1.8,2831.4,30544.1,-5.6,2945.4,23149.4,4781.39 %,45.93 %,84.16 %,267.8,1352.9,19482.6,24751.33 %,50.80 %,149.91 %,11775.3,1621.1,89785.0,99.8,17343.2,4012.4,19.8,16477.3,278.3,24.6,15607.4,84.6,1019.74 %,29.90 %,392.56 %,250.9,4665.9,332.1,1741.94 %,36.26 %,257.28 %,1738.1,6287.8,10323.3,2.7,154.2,73.9,1.7,112.7,38.7,2.4,153.8,51.4,8512.60 %,168.70 %,409.30 %,204.3,259.5,210.4,7943.42 %,174.49 %,480.15 %,216.1,269.1,354.8,20.3,1078.0,208.8,12.9,1076.6,86.5,17.4,1076.8,57.0,1045.40 %,4.25 %,413.56 %,182.1,45.8,235.9,986.20 %,5.50 %,219.98 %,200.5,59.3,459.4
B100M3,,4195769,18110,803,100.00 %,0.43 %,0.02 %,100.00 %,0.43 %,0.02 %,46619.54,201.22,8.92,3.4,989.4,1564.5,-0.2,909.4,701.9,-1.1,920.8,639.4,11119.50 %,36.84 %,103.11 %,122.3,339.2,659.3,6637.41 %,42.78 %,144.55 %,228.7,423.3,2261.5,30.0,3189.1,62339.9,-2.1,2834.2,30974.0,-5.8,2943.0,24192.7,4616.51 %,45.40 %,84.20 %,267.8,1336.0,20369.9,13137.66 %,50.22 %,150.43 %,3944.4,1601.7,93775.6,99.3,17352.1,4356.6,19.9,16493.7,378.3,24.7,15656.3,109.7,1015.61 %,30.05 %,337.34 %,250.9,4705.0,370.1,1310.54 %,35.96 %,242.38 %,1300.8,6239.8,10559.7,2.4,156.2,51.4,1.5,114.7,35.0,2.3,156.5,52.8,8889.15 %,164.79 %,419.23 %,204.5,257.9,221.4,8620.15 %,171.80 %,455.37 %,208.5,268.4,234.0,20.5,1078.1,234.2,12.9,1076.7,105.5,17.5,1077.3,78.5,1042.12 %,4.24 %,342.05 %,182.3,45.6,268.4,979.25 %,5.23 %,204.67 %,200.3,56.3,479.4
B101M1,,4017857,17373,1001,100.00 %,0.43 %,0.02 %,100.00 %,0.43 %,0.02 %,44642.69,193.03,11.12,4.0,1036.7,1644.0,-0.2,950.1,781.2,-1.1,957.4,703.9,11146.46 %,37.55 %,102.43 %,122.6,359.5,721.0,7397.49 %,44.21 %,139.42 %,294.5,458.4,2292.2,41.0,3295.9,64948.7,-2.2,2952.8,33484.7,-5.8,3041.7,26384.3,4616.51 %,42.83 %,88.95 %,267.8,1302.9,23468.4,15616.96 %,49.32 %,142.68 %,6407.2,1625.5,92670.3,101.2,17739.6,4154.5,19.5,16807.7,324.4,24.1,15875.1,103.1,1039.67 %,30.11 %,315.79 %,250.6,4780.1,325.6,1379.34 %,37.53 %,243.11 %,1395.8,6657.4,10100.0,2.5,175.2,68.5,1.5,128.4,40.5,2.1,171.4,46.0,9721.62 %,152.58 %,499.25 %,204.2,261.5,229.7,9023.06 %,153.54 %,375.58 %,224.0,269.0,257.4,20.1,1082.0,227.9,12.7,1080.5,97.0,17.1,1080.3,73.6,1065.06 %,4.22 %,313.12 %,182.0,45.6,230.5,997.19 %,5.60 %,205.61 %,200.5,60.5,468.6
