Experiment Name:,Exp_20201127_samples

Tube Name:,Sample ID:,All Events ,Picochlorum Events,P2 Events,All Events  % Total,Picochlorum % Total,P2 % Total,All Events  % Parent,Picochlorum % Parent,P2 % Parent,All Events  Events/μL(V),Picochlorum Events/μL(V),P2 Events/μL(V),All Events  Mean FSC-A,Picochlorum Mean FSC-A,P2 Mean FSC-A,All Events  GeoMean FSC-A,Picochlorum GeoMean FSC-A,P2 GeoMean FSC-A,All Events  Median FSC-A,Picochlorum Median FSC-A,P2 Median FSC-A,All Events  rCV FSC-A,Picochlorum rCV FSC-A,P2 rCV FSC-A,All Events  rSD FSC-A,Picochlorum rSD FSC-A,P2 rSD FSC-A,All Events  CV FSC-A,Picochlorum CV FSC-A,P2 CV FSC-A,All Events  SD FSC-A,Picochlorum SD FSC-A,P2 SD FSC-A,All Events  Mean SSC-A,Picochlorum Mean SSC-A,P2 Mean SSC-A,All Events  GeoMean SSC-A,Picochlorum GeoMean SSC-A,P2 GeoMean SSC-A,All Events  Median SSC-A,Picochlorum Median SSC-A,P2 Median SSC-A,All Events  rCV SSC-A,Picochlorum rCV SSC-A,P2 rCV SSC-A,All Events  rSD SSC-A,Picochlorum rSD SSC-A,P2 rSD SSC-A,All Events  CV SSC-A,Picochlorum CV SSC-A,P2 CV SSC-A,All Events  SD SSC-A,Picochlorum SD SSC-A,P2 SD SSC-A,All Events  Mean PE-A,Picochlorum Mean PE-A,P2 Mean PE-A,All Events  GeoMean PE-A,Picochlorum GeoMean PE-A,P2 GeoMean PE-A,All Events  Median PE-A,Picochlorum Median PE-A,P2 Median PE-A,All Events  rCV PE-A,Picochlorum rCV PE-A,P2 rCV PE-A,All Events  rSD PE-A,Picochlorum rSD PE-A,P2 rSD PE-A,All Events  CV PE-A,Picochlorum CV PE-A,P2 CV PE-A,All Events  SD PE-A,Picochlorum SD PE-A,P2 SD PE-A,All Events  Mean PC5.5-A,Picochlorum Mean PC5.5-A,P2 Mean PC5.5-A,All Events  GeoMean PC5.5-A,Picochlorum GeoMean PC5.5-A,P2 GeoMean PC5.5-A,All Events  Median PC5.5-A,Picochlorum Median PC5.5-A,P2 Median PC5.5-A,All Events  rCV PC5.5-A,Picochlorum rCV PC5.5-A,P2 rCV PC5.5-A,All Events  rSD PC5.5-A,Picochlorum rSD PC5.5-A,P2 rSD PC5.5-A,All Events  CV PC5.5-A,Picochlorum CV PC5.5-A,P2 CV PC5.5-A,All Events  SD PC5.5-A,Picochlorum SD PC5.5-A,P2 SD PC5.5-A,All Events  Mean PC5.5-Width,Picochlorum Mean PC5.5-Width,P2 Mean PC5.5-Width,All Events  GeoMean PC5.5-Width,Picochlorum GeoMean PC5.5-Width,P2 GeoMean PC5.5-Width,All Events  Median PC5.5-Width,Picochlorum Median PC5.5-Width,P2 Median PC5.5-Width,All Events  rCV PC5.5-Width,Picochlorum rCV PC5.5-Width,P2 rCV PC5.5-Width,All Events  rSD PC5.5-Width,Picochlorum rSD PC5.5-Width,P2 rSD PC5.5-Width,All Events  CV PC5.5-Width,Picochlorum CV PC5.5-Width,P2 CV PC5.5-Width,All Events  SD PC5.5-Width,Picochlorum SD PC5.5-Width,P2 SD PC5.5-Width
A6,,4021446,29839,8192,100.00%,0.74%,0.20%,100.00%,0.74%,0.20%,44682.72,331.54,91.02,9.2,1261.6,771.9,0.3,1127.4,393.0,-1.3,1173.8,420.2,9431.62%,47.50%,101.12%,122.6,557.6,424.9,3877.29%,45.97%,157.58%,356.0,580.0,1216.3,90.0,3558.1,32921.2,-4.5,3129.0,19388.9,-12.7,3170.0,17898.3,2136.34%,47.77%,84.73%,271.3,1514.2,15165.0,8915.50%,52.61%,151.87%,8023.1,1872.1,49996.2,2.9,140.5,13.8,1.8,102.5,9.6,2.6,140.9,10.4,7834.97%,180.98%,2025.74%,203.7,255.0,210.7,7080.54%,186.87%,1543.11%,208.2,262.5,213.5,122.4,13962.8,497.5,18.6,13121.9,35.3,20.5,13330.8,22.3,1229.47%,32.20%,1183.76%,252.0,4293.0,264.6,1068.83%,35.68%,656.85%,1307.9,4981.4,3268.1,19.9,1060.3,43.3,11.3,1058.2,17.3,14.5,1062.5,16.3,1263.98%,4.90%,1175.81%,183.3,52.0,192.0,1047.96%,6.49%,608.99%,208.7,68.8,263.4
A7,,4086126,21832,8461,100.00%,0.53%,0.21%,100.00%,0.53%,0.21%,45401.21,242.58,94.01,6.4,1212.3,792.5,0.0,1090.6,417.5,-1.2,1052.1,441.5,10205.23%,41.25%,101.82%,122.5,434.0,449.5,4552.61%,47.91%,150.28%,290.3,580.8,1190.9,85.7,3280.5,34591.5,-2.2,2874.5,20534.8,-8.3,2847.2,19268.6,3242.07%,45.53%,88.85%,269.1,1296.2,17121.1,4151.12%,55.62%,144.12%,3557.3,1824.8,49854.6,2.7,170.0,15.6,1.7,124.8,9.7,2.3,169.3,15.8,8850.48%,152.90%,1308.07%,203.6,258.9,206.7,7643.48%,155.97%,1386.94%,207.8,265.2,216.9,95.6,13762.7,413.0,19.4,13034.7,34.2,23.1,12246.3,30.3,1084.67%,27.54%,861.67%,250.6,3372.0,261.1,1156.92%,35.81%,786.54%,1105.9,4928.7,3248.4,20.3,1056.9,39.8,12.5,1055.2,18.6,16.4,1058.6,21.8,1112.06%,5.00%,869.36%,182.1,52.9,189.4,996.80%,5.81%,623.59%,202.3,61.4,248.3
B6,,4006794,51028,9190,100.00%,1.27%,0.23%,100.00%,1.27%,0.23%,44519.94,566.98,102.11,8.9,971.9,710.8,-0.5,894.8,376.5,-3.2,924.6,405.5,3859.39%,39.72%,102.25%,123.5,367.2,414.7,2127.28%,39.54%,141.02%,190.1,384.3,1002.3,93.8,2933.2,30110.2,-7.9,2686.6,18646.1,-20.0,2770.6,17375.8,1371.41%,39.48%,84.10%,274.3,1093.8,14613.1,8509.07%,42.92%,131.95%,7982.7,1259.0,39731.1,3.0,114.9,10.2,1.8,83.7,6.8,2.6,114.9,9.4,7846.38%,217.19%,2230.18%,204.0,249.4,210.8,6898.55%,226.96%,2125.41%,209.1,260.8,217.5,175.7,12884.8,590.2,17.4,12279.7,41.8,14.9,12222.4,23.0,1708.47%,30.41%,1145.38%,254.6,3716.7,262.9,885.27%,32.30%,581.66%,1555.1,4162.2,3433.1,19.9,1055.6,48.6,9.2,1053.3,18.8,10.5,1055.7,16.2,1765.55%,5.01%,1181.21%,185.1,52.9,191.3,1115.62%,7.01%,578.66%,222.3,74.0,281.2
B7,,4058153,34940,9295,100.00%,0.86%,0.23%,100.00%,0.86%,0.23%,45090.50,388.22,103.28,7.4,1036.2,760.5,-0.2,969.5,394.6,-2.0,1001.1,423.2,6137.96%,35.71%,104.92%,122.8,357.5,444.0,3317.69%,35.27%,143.98%,244.2,365.5,1094.9,90.7,3021.6,32755.4,-5.7,2769.7,19725.1,-15.6,2880.3,18745.9,1743.96%,39.38%,88.19%,272.1,1134.3,16531.1,3260.68%,42.47%,134.46%,2957.4,1283.4,44042.5,2.9,142.6,12.7,1.8,104.4,8.1,2.5,142.4,13.1,8136.51%,181.26%,1561.82%,203.4,258.1,204.6,7320.37%,184.69%,1650.05%,211.3,263.3,210.2,141.6,14290.3,503.7,19.3,13759.1,41.2,20.7,13601.4,31.9,1216.88%,26.57%,805.44%,251.9,3614.2,256.9,991.11%,28.26%,632.20%,1403.7,4038.3,3184.3,21.0,1058.9,46.4,11.6,1057.1,21.5,14.6,1058.4,21.5,1251.31%,4.51%,875.23%,183.0,47.7,187.9,1005.22%,6.26%,560.61%,211.0,66.3,260.1
C6,,3979302,52886,9054,100.00%,1.33%,0.23%,100.00%,1.33%,0.23%,44214.41,587.62,100.60,9.1,971.8,732.7,-0.6,894.4,390.7,-3.5,923.6,423.9,3541.30%,39.39%,103.63%,123.9,363.8,439.3,2019.96%,39.65%,138.77%,184.3,385.4,1016.7,90.2,2911.8,30729.2,-8.5,2652.1,19075.2,-21.0,2744.9,17984.1,1308.22%,40.66%,86.06%,274.7,1116.1,15478.0,3227.61%,44.57%,130.98%,2912.6,1297.9,40248.1,3.2,115.6,12.9,2.0,84.4,7.1,2.9,115.7,11.1,7029.57%,214.25%,1851.57%,203.9,247.9,204.6,6412.68%,224.45%,1677.94%,208.4,259.5,216.1,181.8,12841.3,582.3,17.4,12247.1,39.0,14.7,12152.3,22.5,1733.73%,30.03%,1166.97%,254.9,3649.3,262.6,876.32%,32.08%,537.90%,1592.9,4119.3,3132.0,20.1,1055.2,48.9,9.1,1052.9,17.6,10.3,1055.2,15.9,1796.64%,5.06%,1213.83%,185.3,53.3,192.6,1110.47%,7.09%,578.17%,223.7,74.8,282.6
C7,,4036428,37270,8416,100.00%,0.92%,0.21%,100.00%,0.92%,0.21%,44849.13,414.11,93.51,7.6,1020.9,815.4,-0.4,954.2,424.1,-2.3,985.3,458.5,5350.25%,35.81%,105.05%,123.1,352.8,481.7,4297.79%,35.74%,140.90%,326.8,364.8,1148.9,87.7,2975.6,34794.4,-5.6,2719.6,20946.0,-15.1,2834.1,19452.8,1797.78%,39.87%,90.19%,271.5,1129.9,17543.9,3572.61%,43.40%,133.45%,3132.2,1291.2,46431.9,2.9,143.4,14.1,1.8,105.0,8.3,2.6,144.1,13.1,7823.57%,176.19%,1590.84%,203.4,253.9,209.2,7243.96%,182.05%,1553.37%,213.0,261.0,219.1,147.7,14047.1,609.3,19.5,13534.1,50.2,20.4,13322.9,37.5,1234.77%,26.70%,702.16%,251.9,3557.4,263.3,965.88%,28.29%,547.20%,1426.3,3974.1,3334.2,21.2,1058.9,57.0,11.5,1057.0,24.6,14.4,1058.0,26.8,1272.58%,4.54%,719.87%,183.0,48.0,193.0,1003.86%,6.47%,487.52%,212.5,68.5,277.9
X6,,4046648,12979,10315,100.00%,0.32%,0.25%,100.00%,0.32%,0.25%,44962.74,144.21,114.61,3.5,948.2,643.7,-0.2,878.7,352.0,-0.9,901.3,380.4,13557.55%,37.23%,100.24%,122.0,335.5,381.3,7687.60%,38.93%,138.13%,268.4,369.1,889.1,89.1,2794.0,28514.1,-0.7,2578.9,17945.9,-5.7,2618.7,16450.5,4705.30%,35.62%,82.97%,268.2,932.7,13648.8,13221.14%,43.17%,131.04%,11782.7,1206.2,37366.0,2.6,118.5,12.7,1.7,87.4,9.1,2.6,122.1,11.2,7817.86%,204.60%,1828.10%,203.3,249.8,204.7,7854.91%,219.59%,1677.67%,207.5,260.3,213.5,60.5,11387.8,197.5,19.4,10922.2,26.9,25.1,10807.7,26.3,994.11%,28.50%,949.31%,249.5,3080.4,249.7,1206.15%,33.47%,1009.16%,729.6,3811.4,1992.7,19.7,1046.6,29.6,13.0,1044.7,16.6,17.8,1048.4,19.0,1017.28%,5.53%,955.14%,181.3,58.0,181.1,995.75%,6.19%,755.37%,196.4,64.8,223.7
X7,,4078827,11437,9492,100.00%,0.28%,0.23%,100.00%,0.28%,0.23%,45320.23,127.08,105.47,3.4,972.7,721.9,-0.1,902.4,390.0,-0.8,928.5,413.0,15233.72%,37.97%,103.37%,121.9,352.6,427.0,7465.18%,37.26%,133.38%,252.0,362.5,962.9,81.8,2923.6,31835.4,-0.2,2682.9,19454.2,-5.0,2750.3,18088.7,5352.19%,38.42%,87.29%,267.6,1056.8,15789.9,3199.20%,42.88%,128.75%,2615.4,1253.6,40989.1,2.8,143.2,10.8,1.8,104.1,7.5,2.6,143.9,11.2,7823.57%,172.68%,1813.54%,203.4,248.5,203.1,7517.42%,181.15%,1926.20%,207.3,259.5,207.8,59.6,12408.2,252.2,19.7,11902.1,34.8,25.6,11813.5,34.0,973.54%,29.46%,751.97%,249.2,3480.3,256.0,1228.86%,29.49%,747.09%,732.8,3658.9,1884.0,19.9,1051.9,38.4,13.3,1050.3,20.9,18.1,1053.4,24.7,997.39%,5.02%,758.26%,181.0,52.9,187.3,979.62%,5.60%,598.55%,195.0,58.9,229.7
Y6,,4020970,13093,10978,100.00%,0.33%,0.27%,100.00%,0.33%,0.27%,44677.48,145.48,121.98,3.4,963.7,633.2,-0.2,898.1,352.4,-1.2,920.6,387.7,10180.52%,35.20%,100.34%,122.2,324.1,389.0,7335.02%,37.92%,130.34%,253.0,365.4,825.4,83.4,2863.1,27716.3,-0.8,2653.0,17749.3,-6.2,2698.1,16511.8,4333.02%,36.11%,82.49%,268.6,974.4,13621.0,2864.30%,42.87%,125.34%,2388.8,1227.3,34738.4,2.6,116.6,5.9,1.7,84.7,3.5,2.5,113.4,5.7,8124.65%,219.51%,3542.63%,203.1,248.9,201.9,8039.72%,223.05%,3524.63%,207.4,260.1,208.1,61.3,11475.5,180.5,19.3,11030.7,27.8,24.9,10933.6,30.8,1002.09%,28.29%,814.83%,249.5,3093.6,250.6,1201.34%,33.04%,923.01%,736.6,3791.0,1665.9,19.8,1050.0,30.9,12.9,1048.2,17.2,17.7,1051.1,21.4,1026.95%,5.44%,840.63%,181.3,57.2,180.3,992.03%,6.09%,702.77%,196.5,64.0,217.1
Y7,,4018271,12727,9311,100.00%,0.32%,0.23%,100.00%,0.32%,0.23%,44647.44,141.41,103.46,3.5,998.5,715.3,-0.1,928.1,393.3,-0.8,959.3,426.9,15196.65%,36.92%,100.65%,121.6,354.2,429.7,4240.90%,37.26%,131.89%,147.3,372.0,943.4,80.9,2986.3,31426.6,-0.5,2742.5,19647.5,-5.2,2800.8,18304.5,5146.33%,39.04%,86.13%,267.6,1093.6,15766.1,3044.24%,42.54%,126.15%,2462.9,1270.4,39646.0,2.7,145.6,8.9,1.7,108.0,5.9,2.5,148.4,7.4,8136.51%,172.14%,2756.83%,203.4,255.5,204.0,7603.47%,178.10%,2352.15%,207.2,259.4,210.1,65.0,12827.8,270.2,19.6,12287.4,35.4,25.0,12136.5,33.1,996.90%,27.86%,779.37%,249.2,3381.8,258.0,1231.73%,30.69%,811.45%,800.2,3937.4,2192.8,19.9,1052.2,37.8,13.1,1050.5,21.0,17.7,1053.1,23.5,1020.86%,5.06%,799.88%,181.0,53.3,188.0,985.30%,5.87%,614.08%,195.9,61.8,232.1
