Experiment Name:,Exp_20201130_2

Tube Name:,Sample ID:,All Events ,Picochlorum Events,P2 Events,All Events  % Total,Picochlorum % Total,P2 % Total,All Events  % Parent,Picochlorum % Parent,P2 % Parent,All Events  Events/μL(V),Picochlorum Events/μL(V),P2 Events/μL(V),All Events  Mean FSC-A,Picochlorum Mean FSC-A,P2 Mean FSC-A,All Events  GeoMean FSC-A,Picochlorum GeoMean FSC-A,P2 GeoMean FSC-A,All Events  Median FSC-A,Picochlorum Median FSC-A,P2 Median FSC-A,All Events  rCV FSC-A,Picochlorum rCV FSC-A,P2 rCV FSC-A,All Events  rSD FSC-A,Picochlorum rSD FSC-A,P2 rSD FSC-A,All Events  CV FSC-A,Picochlorum CV FSC-A,P2 CV FSC-A,All Events  SD FSC-A,Picochlorum SD FSC-A,P2 SD FSC-A,All Events  Mean SSC-A,Picochlorum Mean SSC-A,P2 Mean SSC-A,All Events  GeoMean SSC-A,Picochlorum GeoMean SSC-A,P2 GeoMean SSC-A,All Events  Median SSC-A,Picochlorum Median SSC-A,P2 Median SSC-A,All Events  rCV SSC-A,Picochlorum rCV SSC-A,P2 rCV SSC-A,All Events  rSD SSC-A,Picochlorum rSD SSC-A,P2 rSD SSC-A,All Events  CV SSC-A,Picochlorum CV SSC-A,P2 CV SSC-A,All Events  SD SSC-A,Picochlorum SD SSC-A,P2 SD SSC-A,All Events  Mean PE-A,Picochlorum Mean PE-A,P2 Mean PE-A,All Events  GeoMean PE-A,Picochlorum GeoMean PE-A,P2 GeoMean PE-A,All Events  Median PE-A,Picochlorum Median PE-A,P2 Median PE-A,All Events  rCV PE-A,Picochlorum rCV PE-A,P2 rCV PE-A,All Events  rSD PE-A,Picochlorum rSD PE-A,P2 rSD PE-A,All Events  CV PE-A,Picochlorum CV PE-A,P2 CV PE-A,All Events  SD PE-A,Picochlorum SD PE-A,P2 SD PE-A,All Events  Mean PC5.5-A,Picochlorum Mean PC5.5-A,P2 Mean PC5.5-A,All Events  GeoMean PC5.5-A,Picochlorum GeoMean PC5.5-A,P2 GeoMean PC5.5-A,All Events  Median PC5.5-A,Picochlorum Median PC5.5-A,P2 Median PC5.5-A,All Events  rCV PC5.5-A,Picochlorum rCV PC5.5-A,P2 rCV PC5.5-A,All Events  rSD PC5.5-A,Picochlorum rSD PC5.5-A,P2 rSD PC5.5-A,All Events  CV PC5.5-A,Picochlorum CV PC5.5-A,P2 CV PC5.5-A,All Events  SD PC5.5-A,Picochlorum SD PC5.5-A,P2 SD PC5.5-A,All Events  Mean PC5.5-Width,Picochlorum Mean PC5.5-Width,P2 Mean PC5.5-Width,All Events  GeoMean PC5.5-Width,Picochlorum GeoMean PC5.5-Width,P2 GeoMean PC5.5-Width,All Events  Median PC5.5-Width,Picochlorum Median PC5.5-Width,P2 Median PC5.5-Width,All Events  rCV PC5.5-Width,Picochlorum rCV PC5.5-Width,P2 rCV PC5.5-Width,All Events  rSD PC5.5-Width,Picochlorum rSD PC5.5-Width,P2 rSD PC5.5-Width,All Events  CV PC5.5-Width,Picochlorum CV PC5.5-Width,P2 CV PC5.5-Width,All Events  SD PC5.5-Width,Picochlorum SD PC5.5-Width,P2 SD PC5.5-Width
X13 64X,,4051614,4377,9064,100.00%,0.11%,0.22%,100.00%,0.11%,0.22%,45017.66,48.63,100.71,2.2,977.5,718.3,0.0,921.0,494.9,-0.3,951.2,515.2,40326.72%,33.87%,79.45%,121.0,322.2,409.3,6291.59%,33.50%,96.31%,137.2,327.5,691.8,80.3,3044.2,31749.1,1.0,2793.9,24073.6,-2.1,2927.7,22765.1,12693.88%,36.76%,70.95%,266.6,1076.4,16152.2,3160.18%,45.24%,90.55%,2538.8,1377.1,28748.4,2.4,125.8,4.1,1.5,91.3,2.9,2.3,127.4,1.5,8844.03%,199.35%,13704.17%,203.4,254.0,205.6,8548.86%,211.34%,5088.08%,207.0,265.9,207.3,43.4,14992.7,106.3,20.3,14554.8,23.2,27.8,14315.7,28.4,894.36%,26.95%,864.76%,248.6,3857.4,245.6,1306.77%,24.85%,1114.65%,567.5,3725.6,1184.8,20.1,1066.9,25.3,14.1,1065.7,16.0,19.7,1066.8,19.0,916.09%,4.24%,936.79%,180.7,45.3,177.8,945.96%,4.70%,783.79%,190.2,50.1,198.7
X13 128X,,4036340,2329,9007,100.00%,0.06%,0.22%,100.00%,0.06%,0.22%,44848.02,25.88,100.08,2.0,988.6,733.6,0.0,932.1,501.3,0.0,943.9,521.1,####,34.96%,79.66%,120.2,330.0,415.1,7368.18%,33.68%,98.41%,144.3,333.0,722.0,82.8,2993.7,32702.6,1.6,2752.3,24409.6,-1.4,2864.9,22804.1,19019.64%,38.70%,71.78%,266.3,1108.8,16368.5,4159.97%,42.23%,94.75%,3444.9,1264.1,30987.4,2.4,143.5,7.8,1.6,107.1,5.4,2.3,146.6,4.7,8844.03%,169.70%,4302.69%,203.4,248.8,202.2,8736.97%,184.42%,2658.60%,207.2,264.7,206.4,36.0,14927.6,76.0,20.1,14491.0,22.3,27.8,14152.8,27.2,893.83%,26.97%,906.46%,248.5,3817.4,246.6,1242.81%,24.98%,1162.46%,447.6,3729.2,883.8,19.7,1058.0,23.5,14.0,1056.8,15.3,19.7,1059.1,19.5,913.22%,4.48%,905.46%,180.3,47.5,176.7,959.01%,4.90%,842.79%,188.7,51.8,197.9
Y13 64X,,4203827,5804,9430,100.00%,0.14%,0.22%,100.00%,0.14%,0.22%,46709.14,64.49,104.78,2.5,987.5,713.5,0.0,931.6,494.8,-0.4,956.0,514.8,30207.97%,33.72%,80.34%,120.8,322.4,413.6,10962.83%,32.96%,97.69%,275.1,325.5,697.0,79.0,3026.8,31260.8,0.9,2776.9,23796.5,-2.7,2895.4,22350.1,9884.00%,37.43%,70.49%,266.9,1083.8,15753.5,3216.62%,44.22%,91.30%,2542.2,1338.4,28541.9,2.4,133.9,4.0,1.6,96.2,1.4,2.2,131.7,5.1,9239.29%,194.08%,3991.39%,203.3,255.6,203.6,8537.19%,195.87%,5200.97%,207.2,262.3,209.3,47.1,14643.2,114.0,20.3,14218.7,25.2,27.4,14006.9,31.5,907.96%,26.43%,787.50%,248.8,3702.7,247.7,1304.60%,24.80%,1098.47%,615.0,3630.9,1251.9,20.2,1063.6,26.0,14.0,1062.4,16.1,19.4,1064.4,23.0,928.51%,4.43%,782.97%,180.6,47.2,180.4,946.07%,4.75%,781.15%,191.0,50.5,203.3
Y13 128X,,4052903,2929,9340,100.00%,0.07%,0.23%,100.00%,0.07%,0.23%,45032.05,32.54,103.78,2.3,977.5,730.1,0.0,922.5,499.5,-0.3,944.7,519.7,40079.62%,33.98%,79.86%,120.2,321.0,415.1,11050.11%,32.65%,98.30%,248.9,319.1,717.7,93.0,2969.2,32318.6,1.4,2720.4,24238.8,-1.6,2835.2,22700.2,16669.98%,39.10%,71.29%,266.7,1108.7,16184.0,11294.46%,46.27%,92.80%,10503.4,1373.8,29990.4,2.3,149.5,8.9,1.5,110.5,5.5,2.1,148.4,8.1,9686.32%,168.64%,2562.52%,203.4,250.3,207.6,9158.82%,171.47%,2339.79%,207.3,256.3,207.6,37.9,14464.8,96.1,20.1,14044.3,22.9,27.8,13786.8,32.0,894.89%,27.03%,776.10%,248.8,3727.1,248.0,1253.08%,24.63%,1221.16%,474.6,3563.4,1173.7,19.8,1054.6,23.5,14.0,1053.5,15.2,19.7,1056.5,22.9,915.80%,4.22%,781.18%,180.7,44.6,178.9,954.36%,4.47%,844.86%,189.2,47.1,199.0
Z13 64X,,4082003,5877,8683,100.00%,0.14%,0.21%,100.00%,0.14%,0.21%,45355.43,65.30,96.48,2.5,956.2,719.5,0.1,899.5,493.0,-0.1,921.9,515.5,120683.61%,34.90%,81.25%,120.7,321.7,418.8,5542.35%,33.81%,99.16%,135.9,323.3,713.5,76.7,2926.8,31963.6,0.9,2671.6,24014.2,-2.5,2785.0,22614.9,10686.58%,39.01%,71.35%,267.2,1086.3,16136.6,2823.84%,46.77%,94.40%,2167.2,1368.8,30174.2,2.5,134.3,10.1,1.7,97.9,6.7,2.3,134.7,9.4,8831.14%,186.89%,2118.23%,203.1,251.7,199.1,8254.82%,196.02%,2039.65%,207.2,263.3,206.0,47.0,13949.2,152.6,20.3,13527.2,27.1,27.5,13330.7,35.2,905.73%,27.26%,705.92%,249.1,3633.9,248.5,1283.47%,25.34%,933.05%,602.6,3534.6,1423.8,20.1,1057.8,30.1,14.0,1056.5,16.9,19.5,1058.4,25.6,927.87%,4.35%,708.35%,180.9,46.1,181.3,949.74%,5.09%,697.17%,191.3,53.8,209.6
Z13 128X,,4146998,3124,9355,100.00%,0.08%,0.23%,100.00%,0.08%,0.23%,46077.39,34.71,103.94,2.3,941.8,733.5,0.0,884.2,501.8,-0.2,908.7,520.4,60193.57%,35.10%,81.82%,120.4,319.0,425.8,11891.19%,34.18%,95.94%,270.9,321.9,703.8,86.7,2861.4,32711.3,1.7,2599.2,24435.8,-1.4,2754.4,22784.3,19040.82%,39.51%,71.54%,266.6,1088.2,16299.4,6952.68%,48.71%,92.37%,6029.7,1393.7,30215.2,2.5,144.3,4.1,1.6,104.0,2.8,2.3,139.1,5.7,8844.03%,183.26%,3607.66%,203.4,255.0,205.6,8427.62%,181.48%,5028.93%,207.3,261.9,207.9,37.8,13901.2,89.9,20.1,13483.6,22.7,27.7,13236.3,31.3,898.12%,26.94%,785.35%,248.8,3566.0,245.8,1236.04%,25.60%,1069.70%,467.6,3558.2,962.0,19.8,1051.9,24.0,14.0,1050.8,15.1,19.6,1052.8,21.9,921.09%,4.59%,812.68%,180.5,48.3,177.8,953.84%,4.66%,821.25%,189.2,49.0,197.4
A13 FF 64X,,4149892,6859,6112,100.00%,0.17%,0.15%,100.00%,0.17%,0.15%,46109.71,76.21,67.91,2.4,1037.5,729.2,0.1,974.2,491.4,-0.3,1001.3,501.0,40129.04%,34.90%,80.26%,120.4,349.4,402.1,9802.60%,36.04%,106.89%,239.8,373.9,779.5,55.3,3062.7,32032.7,0.5,2789.5,23701.0,-2.5,2911.5,21830.6,10651.00%,38.83%,70.37%,266.3,1130.5,15363.0,3631.70%,46.19%,99.65%,2008.6,1414.6,31921.1,2.3,163.7,6.2,1.4,119.2,4.4,2.1,165.5,3.8,9693.38%,152.74%,5365.03%,203.6,252.8,201.2,9059.33%,159.60%,3387.17%,207.3,261.3,209.3,52.2,15563.3,218.0,20.1,15056.9,26.4,27.0,14906.6,24.5,921.96%,27.49%,1024.84%,248.9,4097.8,251.6,1348.02%,26.53%,843.99%,703.3,4129.7,1840.0,20.0,1059.5,27.0,13.8,1058.3,16.3,19.2,1060.3,16.8,940.99%,4.19%,1090.68%,180.7,44.4,183.7,958.05%,4.90%,810.86%,191.7,51.9,219.2
A13 FF 128X,,4106554,3650,8833,100.00%,0.09%,0.22%,100.00%,0.09%,0.22%,45628.14,40.56,98.14,2.6,1035.9,763.4,0.1,975.6,507.8,-0.2,1005.0,520.2,60267.69%,33.22%,82.68%,120.5,333.9,430.1,9735.94%,34.97%,105.14%,248.5,362.2,802.7,81.4,3108.7,33824.3,1.3,2823.7,24725.0,-1.8,2949.3,22986.1,14809.53%,39.01%,72.23%,266.6,1150.6,16602.2,3182.71%,48.00%,100.86%,2592.1,1492.1,34115.3,2.3,183.3,6.7,1.4,135.4,4.1,2.1,182.8,6.2,9679.26%,137.43%,3307.15%,203.3,251.2,205.0,9224.16%,142.11%,3165.67%,207.9,260.5,210.7,41.1,15598.2,126.0,20.1,15088.1,23.4,27.6,14871.5,29.3,900.84%,27.25%,847.56%,248.6,4053.0,248.3,1330.94%,26.90%,1311.82%,547.0,4196.2,1653.3,19.8,1059.9,23.8,14.0,1058.8,15.6,19.6,1060.5,21.1,922.31%,4.06%,852.16%,180.4,43.0,180.0,955.64%,4.46%,842.86%,189.5,47.3,201.0
B13 FF 64X,,4140617,8751,6754,100.00%,0.21%,0.16%,100.00%,0.21%,0.16%,46006.71,97.23,75.04,3.1,972.5,735.6,0.0,918.2,496.8,-0.4,938.2,511.3,30133.85%,34.07%,82.68%,120.5,319.6,422.7,12188.01%,32.82%,101.54%,381.4,319.2,746.9,65.9,2999.9,32309.7,0.1,2749.8,24096.3,-3.3,2880.5,22352.2,8086.91%,37.94%,70.89%,266.9,1092.8,15846.3,13898.80%,43.88%,96.01%,9161.7,1316.3,31020.9,2.3,160.7,9.9,1.5,119.7,7.6,2.2,161.9,8.3,9252.77%,160.53%,2480.23%,203.6,259.9,205.9,8955.50%,165.52%,2130.39%,207.4,266.0,210.3,58.4,15462.6,257.2,19.9,15005.9,36.6,26.2,14682.8,38.0,950.11%,26.43%,674.10%,248.9,3880.9,255.8,1330.49%,25.24%,752.12%,776.9,3903.0,1934.7,19.9,1061.4,37.6,13.5,1060.2,21.8,18.6,1061.7,25.9,972.01%,4.05%,710.21%,180.6,43.0,184.0,970.81%,4.95%,595.10%,193.1,52.5,223.8
B13 FF 128X,,4021938,4446,8522,100.00%,0.11%,0.21%,100.00%,0.11%,0.21%,44688.06,49.40,94.69,2.5,979.0,777.0,0.0,925.2,518.6,-0.4,948.1,528.0,30245.04%,33.00%,83.14%,121.0,312.8,439.0,10270.77%,33.07%,103.44%,256.4,323.8,803.7,82.3,3053.2,34165.1,1.2,2764.7,24978.4,-2.1,2877.2,23176.3,12679.76%,39.33%,73.23%,266.3,1131.6,16971.4,3986.16%,51.61%,98.37%,3281.6,1575.7,33609.0,2.3,177.9,15.7,1.5,132.5,11.5,2.2,178.6,13.9,9252.77%,146.31%,1498.60%,203.6,261.3,208.3,8865.88%,149.90%,1345.92%,207.2,266.6,210.7,43.9,15427.4,153.1,20.0,14965.0,29.0,27.4,14697.3,32.2,907.42%,25.97%,789.65%,248.6,3817.6,254.3,1338.19%,25.67%,964.81%,587.7,3959.8,1476.7,19.8,1060.5,29.5,13.8,1059.5,18.3,19.4,1061.9,23.3,931.46%,4.23%,786.43%,180.5,44.9,183.3,960.18%,4.34%,710.38%,190.2,46.1,209.7
