Experiment Name:,Exp_20201130_samples1

Tube Name:,Sample ID:,All Events ,Picochlorum Events,P2 Events,All Events  % Total,Picochlorum % Total,P2 % Total,All Events  % Parent,Picochlorum % Parent,P2 % Parent,All Events  Events/μL(V),Picochlorum Events/μL(V),P2 Events/μL(V),All Events  Mean FSC-A,Picochlorum Mean FSC-A,P2 Mean FSC-A,All Events  GeoMean FSC-A,Picochlorum GeoMean FSC-A,P2 GeoMean FSC-A,All Events  Median FSC-A,Picochlorum Median FSC-A,P2 Median FSC-A,All Events  rCV FSC-A,Picochlorum rCV FSC-A,P2 rCV FSC-A,All Events  rSD FSC-A,Picochlorum rSD FSC-A,P2 rSD FSC-A,All Events  CV FSC-A,Picochlorum CV FSC-A,P2 CV FSC-A,All Events  SD FSC-A,Picochlorum SD FSC-A,P2 SD FSC-A,All Events  Mean SSC-A,Picochlorum Mean SSC-A,P2 Mean SSC-A,All Events  GeoMean SSC-A,Picochlorum GeoMean SSC-A,P2 GeoMean SSC-A,All Events  Median SSC-A,Picochlorum Median SSC-A,P2 Median SSC-A,All Events  rCV SSC-A,Picochlorum rCV SSC-A,P2 rCV SSC-A,All Events  rSD SSC-A,Picochlorum rSD SSC-A,P2 rSD SSC-A,All Events  CV SSC-A,Picochlorum CV SSC-A,P2 CV SSC-A,All Events  SD SSC-A,Picochlorum SD SSC-A,P2 SD SSC-A,All Events  Mean PE-A,Picochlorum Mean PE-A,P2 Mean PE-A,All Events  GeoMean PE-A,Picochlorum GeoMean PE-A,P2 GeoMean PE-A,All Events  Median PE-A,Picochlorum Median PE-A,P2 Median PE-A,All Events  rCV PE-A,Picochlorum rCV PE-A,P2 rCV PE-A,All Events  rSD PE-A,Picochlorum rSD PE-A,P2 rSD PE-A,All Events  CV PE-A,Picochlorum CV PE-A,P2 CV PE-A,All Events  SD PE-A,Picochlorum SD PE-A,P2 SD PE-A,All Events  Mean PC5.5-A,Picochlorum Mean PC5.5-A,P2 Mean PC5.5-A,All Events  GeoMean PC5.5-A,Picochlorum GeoMean PC5.5-A,P2 GeoMean PC5.5-A,All Events  Median PC5.5-A,Picochlorum Median PC5.5-A,P2 Median PC5.5-A,All Events  rCV PC5.5-A,Picochlorum rCV PC5.5-A,P2 rCV PC5.5-A,All Events  rSD PC5.5-A,Picochlorum rSD PC5.5-A,P2 rSD PC5.5-A,All Events  CV PC5.5-A,Picochlorum CV PC5.5-A,P2 CV PC5.5-A,All Events  SD PC5.5-A,Picochlorum SD PC5.5-A,P2 SD PC5.5-A,All Events  Mean PC5.5-Width,Picochlorum Mean PC5.5-Width,P2 Mean PC5.5-Width,All Events  GeoMean PC5.5-Width,Picochlorum GeoMean PC5.5-Width,P2 GeoMean PC5.5-Width,All Events  Median PC5.5-Width,Picochlorum Median PC5.5-Width,P2 Median PC5.5-Width,All Events  rCV PC5.5-Width,Picochlorum rCV PC5.5-Width,P2 rCV PC5.5-Width,All Events  rSD PC5.5-Width,Picochlorum rSD PC5.5-Width,P2 rSD PC5.5-Width,All Events  CV PC5.5-Width,Picochlorum CV PC5.5-Width,P2 CV PC5.5-Width,All Events  SD PC5.5-Width,Picochlorum SD PC5.5-Width,P2 SD PC5.5-Width
A10 16X,,4021446,9489,5534,100.00%,0.24%,0.14%,100.00%,0.24%,0.14%,44682.80,105.43,61.49,4.0,1151.1,856.9,0.0,1062.4,554.4,-0.4,1078.0,576.1,30467.43%,37.18%,83.77%,121.9,400.7,482.6,12359.49%,41.76%,111.56%,489.6,480.6,955.9,61.6,3279.2,37105.1,-0.1,2983.6,26514.1,-3.7,3072.5,24814.8,7228.68%,40.47%,74.41%,267.5,1243.3,18464.6,4048.01%,45.00%,103.90%,2493.1,1475.7,38553.1,2.6,145.8,15.2,1.7,106.0,9.5,2.4,144.5,14.2,8500.24%,175.86%,1455.45%,204.0,254.1,206.7,7924.27%,181.27%,1387.42%,207.7,264.3,211.0,62.8,15723.2,278.5,20.0,15083.4,29.7,26.2,14862.4,25.0,952.94%,29.46%,1017.06%,249.7,4378.0,254.3,1339.78%,30.23%,781.66%,841.4,4753.5,2176.9,20.1,1076.2,34.2,13.5,1074.7,16.6,18.6,1076.8,18.7,975.00%,4.26%,983.89%,181.3,45.8,184.0,964.97%,5.42%,672.80%,194.3,58.3,230.4
A10 32X,,4049486,6527,7227,100.00%,0.16%,0.18%,100.00%,0.16%,0.18%,44994.36,72.52,80.30,3.1,1175.3,859.6,0.1,1087.6,559.2,-0.3,1107.6,578.9,40129.04%,36.93%,86.97%,120.4,409.0,503.5,7868.90%,40.74%,103.54%,241.2,478.9,890.0,88.3,3285.0,38269.4,0.8,2970.7,27259.0,-2.4,3071.6,25804.9,11119.50%,42.07%,77.75%,266.9,1292.1,20063.3,13130.26%,46.25%,100.53%,11596.6,1519.2,38470.3,2.6,173.3,11.4,1.7,127.8,8.1,2.5,169.4,13.2,8148.37%,152.37%,1498.32%,203.7,258.1,197.8,7856.06%,154.71%,1819.73%,207.7,268.1,206.9,51.9,15838.0,183.2,19.9,15182.2,28.0,26.6,14955.9,30.9,936.94%,29.41%,825.75%,249.2,4399.2,255.2,1383.58%,30.74%,891.50%,717.7,4868.7,1633.6,19.9,1073.2,30.0,13.7,1072.1,17.1,18.8,1074.7,22.2,959.49%,4.19%,831.70%,180.8,45.0,184.9,965.30%,4.65%,716.46%,191.9,49.9,215.0
B10 16X,,4208808,13529,5629,100.00%,0.32%,0.13%,100.00%,0.32%,0.13%,46764.54,150.32,62.54,3.7,1008.7,848.2,-0.1,948.9,542.2,-0.9,972.8,547.1,13524.61%,34.89%,85.04%,121.7,339.4,465.2,13429.67%,33.96%,113.51%,502.4,342.5,962.8,60.5,3041.4,36467.1,-0.8,2800.7,25860.9,-4.9,2917.9,23588.8,5470.49%,39.19%,73.90%,268.1,1143.4,17433.3,9363.64%,40.47%,106.11%,5665.1,1230.9,38695.8,2.7,127.6,27.2,1.8,93.9,7.5,2.4,128.4,12.3,8487.89%,199.87%,1665.82%,203.7,256.6,204.9,7816.72%,205.53%,4485.87%,212.2,262.3,1218.2,72.9,15009.1,346.9,19.9,14567.1,37.0,25.5,14303.4,35.4,980.84%,26.42%,701.93%,250.1,3778.4,248.5,1268.03%,25.19%,714.89%,924.5,3781.0,2480.0,20.3,1071.6,41.0,13.3,1070.3,22.2,18.1,1071.6,25.8,1005.42%,4.30%,704.41%,181.6,46.1,181.5,971.41%,5.34%,571.02%,196.7,57.2,234.3
B10 32X,,4076457,9913,7805,100.00%,0.24%,0.19%,100.00%,0.24%,0.19%,45293.92,110.14,86.72,3.3,1017.5,850.8,-0.1,959.0,553.6,-0.8,980.7,565.2,15085.46%,34.36%,85.83%,120.7,337.0,485.1,8680.04%,33.65%,106.79%,290.6,342.4,908.6,83.7,3035.9,37567.4,0.3,2787.2,26843.0,-3.6,2911.8,24940.2,7445.95%,38.69%,76.47%,268.1,1126.6,19071.6,4357.83%,41.65%,101.67%,3647.8,1264.6,38193.2,2.6,149.2,14.0,1.7,111.6,10.0,2.5,151.7,13.6,8148.37%,166.73%,1494.59%,203.7,252.9,203.3,7927.30%,172.64%,1496.85%,207.6,257.5,208.8,61.9,15005.2,288.9,19.8,14552.1,31.7,26.1,14274.7,29.6,954.89%,27.01%,861.51%,249.2,3855.9,255.0,1306.56%,25.56%,822.78%,809.1,3834.6,2376.9,20.0,1070.4,35.3,13.4,1069.1,18.7,18.5,1071.2,21.2,979.11%,4.23%,873.85%,180.9,45.3,185.4,972.30%,4.98%,655.00%,194.1,53.3,230.9
C10 16X,,4224438,15503,5441,100.00%,0.37%,0.13%,100.00%,0.37%,0.13%,46938.22,172.26,60.46,4.1,1026.5,894.8,-0.1,967.4,568.2,-1.0,989.8,572.4,12157.32%,34.09%,86.41%,121.6,337.4,494.6,10895.61%,33.58%,114.85%,450.7,344.7,1027.7,61.2,3101.2,38885.6,-1.2,2854.2,27109.3,-5.6,2980.1,24818.6,4791.97%,38.86%,75.29%,268.4,1158.2,18685.4,7171.01%,40.57%,110.18%,4385.6,1258.2,42842.4,2.6,128.8,11.9,1.7,94.2,7.7,2.4,129.6,12.3,8487.88%,197.45%,1638.09%,203.7,255.9,201.5,7998.26%,204.88%,1765.59%,207.6,263.8,210.6,80.9,15457.0,414.6,19.9,15000.3,36.3,25.2,14691.7,28.6,991.93%,26.43%,890.08%,250.0,3882.6,254.6,1238.75%,25.26%,688.00%,1001.9,3904.9,2852.8,20.4,1071.8,40.8,13.2,1070.4,18.8,17.8,1071.2,19.5,1018.82%,4.19%,941.21%,181.5,44.8,183.8,970.92%,5.65%,601.64%,197.8,60.5,245.6
C10 32X,,4043739,9224,7134,100.00%,0.23%,0.18%,100.00%,0.23%,0.18%,44930.54,102.49,79.27,3.0,1034.4,861.0,-0.2,974.8,562.8,-0.9,999.7,569.3,13409.29%,35.26%,85.00%,120.7,352.5,483.8,8741.06%,33.32%,106.49%,265.2,344.6,916.9,76.9,3096.7,37995.2,0.0,2840.2,27107.7,-3.8,2974.0,25276.6,7038.45%,38.94%,75.92%,267.5,1158.2,19190.8,3470.95%,41.35%,101.94%,2670.8,1280.6,38732.2,2.5,145.0,8.5,1.7,105.8,5.2,2.5,143.0,5.4,8148.37%,177.96%,3795.18%,203.7,254.5,203.0,8187.40%,180.86%,2474.61%,207.7,262.2,211.5,61.2,15520.2,235.2,20.0,15060.0,26.6,26.3,14777.8,27.3,948.75%,26.73%,910.47%,249.5,3949.5,248.6,1321.60%,25.14%,895.49%,808.4,3901.9,2106.2,20.1,1068.7,30.2,13.6,1067.5,16.1,18.6,1068.9,19.2,972.30%,4.06%,940.96%,181.1,43.4,180.4,963.07%,4.75%,736.65%,193.8,50.8,222.6
X10 16X,,4050211,7635,5250,100.00%,0.19%,0.13%,100.00%,0.19%,0.13%,45002.28,84.83,58.33,3.5,1037.6,845.2,0.0,971.9,544.5,-0.2,1003.8,553.5,60564.22%,35.24%,84.31%,121.1,353.7,466.6,13934.16%,34.99%,114.15%,481.9,363.1,964.8,55.5,3079.2,36489.5,-0.2,2824.7,26176.4,-3.4,2961.2,24117.3,7862.14%,38.86%,74.69%,267.3,1150.6,18014.0,4205.83%,41.28%,101.38%,2334.6,1271.0,36994.7,2.5,130.7,8.4,1.6,96.2,5.5,2.2,132.0,10.1,9246.03%,197.46%,1957.32%,203.4,260.6,198.7,8449.07%,204.28%,2462.69%,207.4,267.0,207.0,53.1,14417.5,241.8,19.9,13917.8,32.4,26.6,13656.0,37.0,936.94%,26.33%,690.54%,249.2,3595.0,255.2,1314.67%,27.18%,906.33%,698.5,3918.5,2192.0,19.9,1069.2,34.7,13.6,1067.8,19.7,18.9,1069.7,26.3,958.44%,4.43%,699.04%,181.0,47.4,183.9,966.43%,5.41%,648.19%,192.7,57.9,224.8
X10 32X,,4058304,5386,7577,100.00%,0.13%,0.19%,100.00%,0.13%,0.19%,45092.11,59.84,84.19,2.8,1038.9,871.2,-0.1,973.0,569.2,-0.5,1005.1,581.5,23988.47%,35.41%,85.03%,119.9,355.9,494.4,11360.64%,34.80%,104.43%,313.3,361.6,909.8,85.9,3070.7,38513.1,1.2,2810.3,27412.8,-1.5,2923.5,25562.7,17791.20%,40.86%,77.37%,266.9,1194.6,19777.4,7022.96%,42.38%,100.81%,6029.6,1301.4,38825.5,2.8,150.4,6.4,1.8,109.9,5.0,2.7,152.6,5.6,7539.30%,167.94%,3579.42%,203.6,256.2,200.4,7448.63%,173.32%,3207.00%,207.6,260.7,206.7,45.9,14462.7,176.2,20.0,13951.9,29.4,27.2,13702.0,32.2,916.27%,26.49%,807.60%,249.2,3629.4,260.0,1315.97%,27.58%,902.50%,604.0,3988.4,1589.8,19.9,1067.0,30.0,13.8,1065.8,18.6,19.3,1067.9,23.4,939.36%,4.33%,805.07%,180.9,46.2,188.1,961.02%,4.94%,723.28%,191.1,52.7,217.1
Y10 16X,,4022801,7400,5216,100.00%,0.18%,0.13%,100.00%,0.18%,0.13%,44697.90,82.22,57.96,3.7,1036.3,838.3,0.0,975.3,538.1,-0.2,1002.5,544.7,60267.69%,35.07%,83.49%,120.5,351.6,454.8,15097.20%,33.64%,113.48%,558.3,348.6,951.2,58.7,3036.8,36746.2,0.7,2788.7,25978.0,-2.1,2905.1,23739.0,12693.88%,40.40%,74.21%,266.6,1173.6,17616.3,9431.42%,40.93%,106.65%,5536.8,1242.9,39189.7,2.5,132.9,28.6,1.6,96.5,4.6,2.3,134.4,3.9,8844.03%,187.19%,5206.21%,203.4,251.7,203.0,8491.96%,196.05%,5064.11%,213.6,260.6,1448.9,52.2,14181.0,286.8,19.9,13719.6,32.3,26.7,13397.2,36.4,932.87%,26.03%,706.68%,249.1,3487.5,257.2,1308.62%,26.27%,981.68%,683.4,3724.8,2815.4,20.0,1071.3,36.2,13.6,1070.0,19.4,19.0,1072.3,25.7,953.06%,4.44%,717.49%,180.7,47.6,184.4,963.94%,4.90%,624.28%,192.5,52.5,226.3
Y10 32X,,4089668,5193,8002,100.00%,0.13%,0.20%,100.00%,0.13%,0.20%,45440.74,57.70,88.91,2.6,1021.0,846.0,-0.1,959.9,559.8,-0.3,985.2,565.2,39980.77%,35.17%,82.70%,119.9,346.5,467.4,9159.09%,33.90%,104.52%,239.9,346.1,884.2,86.2,2978.5,37578.8,1.5,2728.1,26948.6,-1.3,2832.8,25056.8,20528.31%,41.63%,74.60%,266.9,1179.3,18692.5,6666.13%,41.57%,102.10%,5749.4,1238.2,38366.3,2.5,156.8,5.9,1.7,116.6,3.0,2.2,161.3,5.1,9252.77%,157.73%,3905.14%,203.6,254.4,201.1,8294.57%,169.74%,3555.05%,207.4,266.2,209.7,44.5,14054.3,154.8,19.9,13600.3,29.6,26.9,13407.4,36.4,925.94%,26.29%,700.57%,249.1,3524.9,255.0,1297.23%,25.99%,964.36%,577.7,3652.8,1492.5,19.8,1064.0,30.8,13.8,1062.8,19.4,19.1,1065.4,25.3,947.33%,4.40%,731.44%,180.7,46.9,185.3,961.63%,4.87%,679.24%,190.9,51.8,209.4
