Experiment Name:,Exp_20210218_2

Tube Name:,Sample ID:,All Events ,Picochlorum Events,P2 Events,All Events  % Total,Picochlorum % Total,P2 % Total,All Events  % Parent,Picochlorum % Parent,P2 % Parent,All Events  Events/μL(V),Picochlorum Events/μL(V),P2 Events/μL(V),All Events  Mean FSC-A,Picochlorum Mean FSC-A,P2 Mean FSC-A,All Events  GeoMean FSC-A,Picochlorum GeoMean FSC-A,P2 GeoMean FSC-A,All Events  Median FSC-A,Picochlorum Median FSC-A,P2 Median FSC-A,All Events  rCV FSC-A,Picochlorum rCV FSC-A,P2 rCV FSC-A,All Events  rSD FSC-A,Picochlorum rSD FSC-A,P2 rSD FSC-A,All Events  CV FSC-A,Picochlorum CV FSC-A,P2 CV FSC-A,All Events  SD FSC-A,Picochlorum SD FSC-A,P2 SD FSC-A,All Events  Mean SSC-A,Picochlorum Mean SSC-A,P2 Mean SSC-A,All Events  GeoMean SSC-A,Picochlorum GeoMean SSC-A,P2 GeoMean SSC-A,All Events  Median SSC-A,Picochlorum Median SSC-A,P2 Median SSC-A,All Events  rCV SSC-A,Picochlorum rCV SSC-A,P2 rCV SSC-A,All Events  rSD SSC-A,Picochlorum rSD SSC-A,P2 rSD SSC-A,All Events  CV SSC-A,Picochlorum CV SSC-A,P2 CV SSC-A,All Events  SD SSC-A,Picochlorum SD SSC-A,P2 SD SSC-A,All Events  Mean PC5.5-A,Picochlorum Mean PC5.5-A,P2 Mean PC5.5-A,All Events  GeoMean PC5.5-A,Picochlorum GeoMean PC5.5-A,P2 GeoMean PC5.5-A,All Events  Median PC5.5-A,Picochlorum Median PC5.5-A,P2 Median PC5.5-A,All Events  rCV PC5.5-A,Picochlorum rCV PC5.5-A,P2 rCV PC5.5-A,All Events  rSD PC5.5-A,Picochlorum rSD PC5.5-A,P2 rSD PC5.5-A,All Events  CV PC5.5-A,Picochlorum CV PC5.5-A,P2 CV PC5.5-A,All Events  SD PC5.5-A,Picochlorum SD PC5.5-A,P2 SD PC5.5-A,All Events  Mean PE-A,Picochlorum Mean PE-A,P2 Mean PE-A,All Events  GeoMean PE-A,Picochlorum GeoMean PE-A,P2 GeoMean PE-A,All Events  Median PE-A,Picochlorum Median PE-A,P2 Median PE-A,All Events  rCV PE-A,Picochlorum rCV PE-A,P2 rCV PE-A,All Events  rSD PE-A,Picochlorum rSD PE-A,P2 rSD PE-A,All Events  CV PE-A,Picochlorum CV PE-A,P2 CV PE-A,All Events  SD PE-A,Picochlorum SD PE-A,P2 SD PE-A,All Events  Mean PC5.5-Width,Picochlorum Mean PC5.5-Width,P2 Mean PC5.5-Width,All Events  GeoMean PC5.5-Width,Picochlorum GeoMean PC5.5-Width,P2 GeoMean PC5.5-Width,All Events  Median PC5.5-Width,Picochlorum Median PC5.5-Width,P2 Median PC5.5-Width,All Events  rCV PC5.5-Width,Picochlorum rCV PC5.5-Width,P2 rCV PC5.5-Width,All Events  rSD PC5.5-Width,Picochlorum rSD PC5.5-Width,P2 rSD PC5.5-Width,All Events  CV PC5.5-Width,Picochlorum CV PC5.5-Width,P2 CV PC5.5-Width,All Events  SD PC5.5-Width,Picochlorum SD PC5.5-Width,P2 SD PC5.5-Width
F100M1,,4112804,4258,880,100.00%,0.10%,0.02%,100.00%,0.10%,0.02%,45697.80,47.31,9.78,1.9,942.1,1871.8,0.1,876.2,921.3,0.1,906.3,843.7,121869.73%,34.77%,106.15%,121.9,315.1,895.6,12150.68%,37.89%,128.38%,231.6,357.0,2403.0,27.2,2963.5,70933.3,0.4,2650.5,38243.0,-2.9,2731.1,31462.3,9478.41%,43.35%,93.07%,274.9,1184.0,29282.2,13152.61%,53.47%,130.42%,3583.8,1584.7,92510.9,44.8,15539.0,4710.7,20.3,14968.7,404.5,27.5,14629.3,146.6,910.59%,26.74%,248.58%,250.4,3911.5,364.4,1580.10%,29.77%,249.88%,707.6,4625.6,11771.2,2.4,164.4,70.2,1.5,123.9,46.4,2.4,166.7,47.2,8537.31%,163.25%,502.89%,204.9,272.1,237.4,8697.94%,166.79%,370.82%,209.4,274.2,260.2,20.1,1070.5,256.6,14.1,1069.2,115.8,19.6,1070.5,103.0,929.74%,4.29%,253.84%,181.9,45.9,261.4,954.89%,4.81%,187.25%,191.9,51.5,480.6
F100M2,,4403529,4648,1120,100.00%,0.11%,0.03%,100.00%,0.11%,0.03%,48928.02,51.64,12.44,1.9,956.9,1673.1,0.2,890.8,795.3,0.2,910.1,723.5,60860.74%,35.51%,103.84%,121.7,323.2,751.3,12125.22%,38.92%,134.18%,231.5,372.4,2245.0,26.4,3053.2,64308.2,-0.1,2724.8,34006.3,-3.5,2765.6,26450.6,7836.60%,43.24%,89.68%,274.3,1195.9,23720.1,10452.16%,57.20%,135.55%,2760.5,1746.4,87170.5,44.9,15707.6,4007.2,20.2,15113.8,310.7,27.5,14878.2,108.4,908.43%,27.18%,300.07%,249.8,4044.0,325.4,1504.22%,30.67%,278.63%,675.7,4818.0,11165.4,2.4,166.5,63.1,1.5,123.4,41.9,2.3,167.4,46.6,8882.71%,160.18%,486.78%,204.3,268.1,226.8,8595.19%,163.61%,386.32%,208.6,272.4,243.9,20.0,1076.1,220.1,14.0,1074.8,97.7,19.5,1075.8,78.8,932.65%,4.27%,299.07%,181.4,45.9,235.6,957.16%,4.99%,206.95%,191.5,53.7,455.5
F100M3,,4384870,4611,844,100.00%,0.11%,0.02%,100.00%,0.11%,0.02%,48720.67,51.23,9.38,1.9,953.2,1879.5,0.1,885.3,890.3,0.1,916.1,879.1,121573.19%,35.59%,112.88%,121.6,326.0,992.2,13724.49%,38.98%,123.30%,260.3,371.6,2317.5,24.6,3002.1,72575.8,0.2,2689.6,38454.0,-2.8,2764.3,32043.5,9763.98%,42.12%,99.15%,273.4,1164.3,31770.8,11791.96%,54.01%,123.33%,2902.9,1621.3,89510.0,44.8,15680.1,4945.4,20.2,15069.9,401.1,27.8,14760.1,125.8,898.09%,27.09%,281.43%,249.7,3998.9,353.9,1431.09%,31.80%,255.60%,641.6,4986.1,12640.2,2.5,172.5,70.1,1.5,126.9,36.8,2.4,169.3,46.5,8500.24%,156.93%,489.58%,204.0,265.7,227.7,8483.35%,159.04%,396.81%,208.1,274.4,278.2,20.1,1072.3,256.7,14.0,1071.1,115.9,19.7,1072.1,97.8,918.65%,4.43%,272.44%,181.4,47.5,266.6,951.44%,4.81%,189.16%,191.1,51.6,485.7
F100A1,,4401780,5553,953,100.00%,0.13%,0.02%,100.00%,0.13%,0.02%,48908.82,61.70,10.59,2.1,965.8,1812.5,0.2,898.5,877.4,0.1,923.1,830.3,121573.19%,35.83%,113.87%,121.6,330.8,945.5,11376.69%,38.61%,125.55%,243.7,372.9,2275.6,24.7,3104.7,69797.3,-0.2,2760.6,36706.8,-3.9,2828.3,30979.4,7017.64%,45.03%,97.94%,273.7,1273.7,30341.4,10339.53%,54.33%,133.22%,2554.0,1686.7,92982.1,47.2,15300.9,4990.4,20.1,14680.4,376.2,27.3,14535.5,112.9,914.00%,28.82%,294.42%,249.5,4188.8,332.4,1451.23%,31.50%,272.63%,685.5,4820.5,13605.3,2.4,146.0,75.1,1.6,108.1,47.9,2.1,148.2,56.2,9707.50%,173.77%,432.91%,203.9,257.5,243.3,8682.48%,183.17%,355.62%,208.0,267.5,267.2,20.0,1069.3,247.3,13.9,1068.0,109.2,19.4,1070.3,80.7,935.71%,4.48%,311.85%,181.2,47.9,251.6,959.01%,4.97%,193.11%,191.4,53.1,477.6
F100A2,,4401396,5548,948,100.00%,0.13%,0.02%,100.00%,0.13%,0.02%,48904.37,61.64,10.53,2.1,955.4,1754.2,0.1,888.9,837.2,0.0,911.0,781.2,####,35.82%,108.68%,121.4,326.3,848.9,11124.86%,38.65%,126.22%,229.4,369.3,2214.3,24.9,3080.4,66493.3,-0.3,2750.8,35288.6,-3.9,2808.3,29393.1,7010.04%,44.35%,94.07%,273.4,1245.6,27650.7,10600.08%,54.23%,132.39%,2638.2,1670.4,88028.8,46.9,15142.8,4756.5,20.0,14544.2,337.2,27.2,14312.2,101.8,917.36%,28.60%,325.95%,249.5,4092.8,331.7,1408.17%,31.38%,264.52%,659.8,4751.3,12581.7,2.3,159.9,68.4,1.4,118.9,48.7,2.1,163.1,49.3,9707.50%,158.49%,451.54%,203.9,258.4,222.8,9109.36%,167.69%,385.42%,207.7,268.1,263.6,19.9,1069.8,235.0,13.8,1068.5,94.3,19.3,1071.1,75.4,936.88%,4.42%,318.72%,181.1,47.3,240.3,963.64%,5.25%,201.94%,191.3,56.2,474.5
F100A3,,4401704,5719,995,100.00%,0.13%,0.02%,100.00%,0.13%,0.02%,48907.57,63.54,11.06,2.0,947.7,1827.5,0.1,883.2,854.5,0.0,904.9,766.3,####,35.16%,107.75%,121.7,318.2,825.7,11022.45%,37.57%,130.39%,224.2,356.0,2382.8,25.8,3089.1,70738.2,-0.4,2751.3,36168.9,-4.4,2839.1,28999.2,6216.81%,44.10%,95.78%,273.5,1251.9,27776.7,10032.81%,53.41%,135.65%,2589.8,1649.9,95953.4,47.4,15070.5,4946.7,20.1,14500.8,431.9,27.1,14235.4,118.8,920.20%,27.47%,314.99%,249.4,3910.4,374.2,1416.89%,30.05%,232.18%,672.3,4528.0,11485.3,2.5,158.7,64.6,1.6,116.1,40.1,2.4,159.4,48.7,8494.06%,161.84%,437.78%,203.9,258.0,213.2,8413.84%,168.67%,378.21%,207.6,267.7,244.5,19.9,1070.3,267.2,13.8,1069.0,119.3,19.2,1070.7,86.9,941.43%,4.39%,319.38%,181.1,47.0,277.6,964.01%,4.99%,185.79%,191.5,53.4,496.5
F101A1,,4404231,5064,1243,100.00%,0.11%,0.03%,100.00%,0.11%,0.03%,48935.75,56.27,13.81,2.1,984.3,1831.1,0.1,917.1,879.7,0.0,940.7,858.1,####,34.67%,108.04%,121.6,326.2,927.1,11769.30%,38.10%,127.45%,245.5,375.0,2333.7,30.4,3135.8,68635.6,-0.3,2797.1,37003.5,-4.2,2835.9,31340.1,6516.38%,41.07%,95.20%,273.7,1164.6,29834.5,9645.25%,58.43%,128.69%,2932.8,1832.3,88324.4,46.4,15553.2,4792.2,20.3,14932.2,387.2,27.7,14625.8,121.9,899.19%,27.23%,278.28%,249.1,3982.6,339.2,1423.36%,31.57%,252.44%,660.5,4910.7,12097.5,2.3,182.0,83.3,1.5,135.7,48.3,2.1,186.2,62.1,9700.44%,139.86%,377.45%,203.7,260.4,234.4,8933.81%,146.69%,320.13%,207.6,267.1,266.7,20.0,1069.4,247.9,14.0,1068.0,112.4,19.6,1068.8,83.9,923.02%,4.51%,297.38%,180.9,48.2,249.4,952.23%,5.07%,192.34%,190.8,54.2,476.8
F101A2,,4405482,5020,1179,100.00%,0.11%,0.03%,100.00%,0.11%,0.03%,48949.84,55.78,13.10,2.3,978.9,1839.5,0.1,914.6,892.0,0.0,934.0,834.8,####,34.61%,111.92%,121.6,323.2,934.3,12772.71%,37.16%,126.75%,290.8,363.7,2331.6,27.1,3078.3,66737.6,-0.3,2781.4,36414.7,-4.3,2825.9,29026.0,6368.28%,40.74%,93.65%,273.8,1151.4,27182.9,9793.06%,49.92%,125.85%,2649.7,1536.6,83992.1,46.1,15554.7,5060.5,20.0,14959.5,406.5,27.4,14706.2,112.4,908.50%,27.47%,308.13%,248.9,4039.9,346.3,1536.06%,30.38%,252.43%,708.4,4726.2,12774.1,2.5,186.1,126.1,1.6,138.1,58.8,2.3,186.4,66.9,8844.03%,142.53%,339.96%,203.4,265.7,227.4,8506.21%,146.87%,989.61%,210.1,273.3,1248.3,19.9,1067.0,253.3,13.8,1065.7,111.7,19.4,1067.7,86.5,930.93%,4.39%,294.31%,180.7,46.9,254.5,959.75%,4.98%,195.02%,190.7,53.1,494.1
F101A3,,4405374,5092,1145,100.00%,0.12%,0.03%,100.00%,0.12%,0.03%,48948.63,56.58,12.72,2.2,974.6,1694.8,0.2,908.4,840.6,0.0,929.8,775.1,####,34.50%,108.02%,121.4,320.8,837.2,13918.14%,38.26%,126.49%,312.3,372.9,2143.8,27.3,3130.8,64845.8,-0.4,2814.8,35117.7,-4.2,2843.0,28480.9,6519.91%,40.09%,93.12%,273.8,1139.7,26522.8,10750.16%,55.80%,130.90%,2940.0,1747.0,84882.9,46.3,15543.0,4361.4,20.1,14965.9,335.3,27.5,14743.7,100.2,905.73%,26.81%,340.32%,249.1,3952.4,341.0,1498.25%,30.07%,268.88%,693.9,4674.3,11726.8,2.4,197.9,84.7,1.5,144.6,45.1,2.1,197.2,47.9,9707.50%,132.36%,469.85%,203.9,261.0,225.1,8622.81%,135.47%,338.82%,207.7,268.1,287.2,19.9,1066.5,234.0,13.9,1065.3,99.7,19.5,1065.9,71.5,928.26%,4.31%,337.50%,180.7,45.9,241.4,956.56%,4.81%,200.12%,190.7,51.3,468.2
F102A1,,4407870,4990,1184,100.00%,0.11%,0.03%,100.00%,0.11%,0.03%,48976.45,55.44,13.16,2.2,1032.1,1760.8,0.3,961.7,891.4,0.1,986.3,904.7,121276.67%,35.60%,103.45%,121.3,351.2,935.9,9557.78%,38.19%,127.33%,214.4,394.1,2242.1,31.0,3205.6,65884.6,-0.5,2902.4,36615.1,-4.4,2949.2,31991.2,6220.18%,38.05%,93.71%,273.7,1122.1,29980.2,15574.54%,53.68%,129.50%,4821.0,1720.8,85322.6,46.8,16171.3,4653.0,20.0,15525.1,341.9,27.1,15171.6,118.6,918.56%,27.90%,287.09%,248.9,4232.8,340.6,2237.67%,31.19%,261.55%,1047.9,5044.2,12169.6,2.4,209.9,102.3,1.5,154.9,55.9,2.3,210.6,66.1,8856.92%,126.37%,346.35%,203.7,266.1,228.8,8742.12%,129.31%,437.68%,208.5,271.4,447.8,19.8,1070.2,242.2,13.8,1069.0,102.7,19.2,1070.7,84.7,941.23%,4.31%,291.46%,180.7,46.2,247.0,963.93%,4.83%,195.72%,190.7,51.7,474.0
