flask,attempt,light regime,light hour,light min,dark hour,dark min,light duration hour,light duration min,culture date,culture year,culture month,culture day,culture hour,culture min,sample date,sample year,sample month,sample day,sample hour,sample min
A,1,1608,7,55,24,8,16,13,2021-01-15,2021,1,15,18,55,2021-01-19,2021,1,19,7,55
A,2,1608,7,55,24,8,16,13,2021-01-15,2021,1,15,18,55,2021-01-19,2021,1,19,15,15
A,3,1608,7,55,24,8,16,13,2021-01-15,2021,1,15,18,55,2021-01-20,2021,1,20,9,25
B,1,1608,7,55,24,8,16,13,2021-01-15,2021,1,15,18,55,2021-01-21,2021,1,21,8,20
E,1,1608,8,50,24,48,15,58,2021-02-05,2021,2,5,16,15,2021-02-09,2021,2,9,8,50
F,1,1608,8,50,24,48,15,58,2021-02-05,2021,2,5,16,15,2021-02-10,2021,2,10,8,30
G,1,1212,8,50,20,50,12,0,2021-02-11,2021,2,11,12,15,2021-02-15,2021,2,15,9,0
H,1,1212,8,50,20,50,12,0,2021-02-11,2021,2,11,12,15,2021-02-16,2021,2,16,8,50
I,1,0816,,,,,0,0,2021-02-18,2021,2,18,13,0,,2021,,,,
J,1,0816,,,,,0,0,2021-02-18,2021,2,18,13,0,,2021,,,,
K,1,0816,,,,,0,0,,2021,2,,,,,2021,,,,
L,1,1212,,,,,0,0,,2021,2,,,,,2021,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
